Timestamp (ms),Total Blink Count,Forward
1737872597340,0,1
1737872598518,0,1
1737872599577,0,1
1737872600643,0,1
1737872601690,0,1
1737872602715,0,0
1737872603747,0,1
1737872604781,0,1
1737872605819,0,1
